,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
1328,ELEC,Hertrich Nissan JP-Eagle,1378 S Dupont Hwy,,Dover,DE,19901,,302-678-4553,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,39.136284,-75.527155,6/9/2020,46555,2021-03-11 23:22:17 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
1329,ELEC,Sheridan Nissan,114 S Dupont Hwy,,New Castle,DE,19720,,302-326-6100,E,,Public - Call ahead,Dealership business hours,,,,,,3.0,1.0,,Non-Networked,,200-9,39.663533,-75.605014,3/7/2022,46556,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
1330,ELEC,Sheridan Nissan,114 S Dupont Hwy,,New Castle,DE,19720,,302-326-6100,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,39.663533,-75.605014,3/7/2022,46557,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
1331,ELEC,Porter Nissan,300 E Cleveland Ave,,Newark,DE,19711,,302-368-6300,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,GPS,39.687222,-75.740488,3/7/2022,46558,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
1332,ELEC,Porter Nissan,300 E Cleveland Ave,,Newark,DE,19711,,302-368-6300,E,,Private,,,,,,,1.0,,,Non-Networked,,GPS,39.687222,-75.740488,3/7/2022,46559,2022-03-07 19:49:53 UTC,P,,,1/31/2012,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
1714,ELEC,DTCC TERRY BUILDING 400,Scarborough Rd,,Dover,DE,19901,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.197334,-75.560005,3/17/2022,47361,2022-03-17 00:32:36 UTC,,,,5/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2109,ELEC,Blue Water House Bed & Breakfast,407 E Market St,,Lewes,DE,19958,,302-645-7832,E,,Public,8am-10pm daily; for guests and those in need while parking is available; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2.0,,,,Non-Networked,,GPS,38.77933,-75.1355,9/10/2021,48371,2022-02-10 21:00:18 UTC,P,,,7/15/2012,,,,,NEMA520,US,,,,Public,,public,,,B_AND_B,,,,,,,Free,,,,,,,,,,
2807,ELEC,Willis Ford,15 N Dupont Blvd,Across from Wendy's on Rt 13,Smyrna,DE,19977,,,E,,Private,Service center use only,,,,,,2.0,,,Non-Networked,,200-9,39.302963,-75.604857,12/9/2021,53400,2022-02-10 19:42:29 UTC,P,,,1/1/2013,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
3355,ELEC,Delaware Welcome Center and Travel Plaza,530 John F Kennedy Memorial Hwy,Located behind the Welcome Center in the truck stop area in the southwest section of the southbound side.,Newark,DE,19702,,302-731-8599,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,39.660766,-75.69348611,12/9/2021,62939,2022-02-10 19:42:29 UTC,P,,,8/1/2014,,,,,J1772,US,,,,Public,,public,,,REST_STOP,,,,,,,Free,,,,,,,,,,
3777,ELEC,Cape May - Lewes Ferry Terminal,43 Cape Henlopen Dr,,Lewes,DE,19958,,800-643-3779,E,,Public,Ferry operation hours,,,,,,2.0,,,Non-Networked,,200-9,38.782012,-75.118769,12/9/2021,65415,2022-02-10 19:42:29 UTC,P,,,1/21/2015,,,,,J1772,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,,,,,,,,,,
